"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1";"NULL";"PERGOLA FOTOVOLTAICA JARDINES COMPLEJO DE MONCLOA";"Madrid";"MADRID";"RE-001103";"RED-13/00/b.1";"40,000";"b.1.1";"Inscripción definitiva"
"2";"NULL";"ESTACION DE SERVICIO VALDEMORO";"Valdemoro";"MADRID";"RE-001025";"RED-12/00/b.1";"14,300";"b.1.1";"Inscripción definitiva"
"3";"NULL";"ESTACION DE SERVICIO - RELAMPAGO";"Majadahonda";"MADRID";"RE-001026";"";"14,300";"b.1.1";"Inscripción previa"
"4";"NULL";"EUROPEA DE COGENERACION, S.A. (Fase nº2)";"Alcobendas";"MADRID";"RE-001104";"RE/0104/2006";"780,000";"a.1.1";"Inscripción definitiva"
"5";"NULL";"CENTRAL FOTOVOLTAICA DE ALCORCON";"Alcorcón";"MADRID";"RE-001105";"";"73,500";"b.1.1";"Inscripción previa"
"6";"NULL";"ENRIQUE RAMON BORJA";"Torrejón de Ardoz";"MADRID";"RE-00D-672";"RED-08/99/a.1";"942,000";"a.1.1";"Inscripción definitiva"
"7";"NULL";"FABRICACION DE ENVASES INDUSTRIALES";"Valdemoro";"MADRID";"RE-001227";"RED-04/00/a.1";"760,000";"a.1.2";"Inscripción definitiva"
"8";"NULL";"GENERACION PENINSULAR, S.L.";"Carabaña";"MADRID";"RE-001369";"RED-28/02/b.4";"169,000";"b.4";"Inscripción definitiva"
"9";"NULL";"IBERIA LINEAS AEREAS DE ESPAÑA";"Madrid";"MADRID";"RE-003624";"RED-11/00/a.1";"2912,000";"a.1.1";"Inscripción definitiva"
"10";"NULL";"COOPERATIVA DE VIVIENDAS JOVENES DE ORCASITAS";"Madrid";"MADRID";"RE-00D-689";"RED-09/00/a.1";"492,000";"a.1.1";"Inscripción definitiva"
"11";"NULL";"RASACAL COGENERACION";"Colmenar de Oreja";"MADRID";"RE-001515";"";"4190,000";"a.1.1";"Inscripción previa"
"12";"NULL";"ESTACION DE SERVICIO B.P. ""SANSE""";"San Sebastián de los Reyes";"MADRID";"RE-001531";"";"20,400";"b.1.1";"Inscripción previa"
"13";"NULL";"ESTACION DE SERVICIO B.P. ""ISIDORO""";"Alcalá de Henares";"MADRID";"RE-001532";"";"14,300";"b.1.1";"Inscripción previa"
"14";"NULL";"INSTITUTO RELIGIOSAS Mª TERESA SIERVAS JESUCRISTO";"Alcobendas";"MADRID";"RE-001533";"RED-11/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"15";"NULL";"RUBER INTERNACIONAL";"Madrid";"MADRID";"RE-001589";"";"768,000";"a.1.1";"Inscripción previa"
"16";"NULL";"PARQUE EOLICO DEL ATAZAR";"Patones";"MADRID";"RE-001590";"";"17250,000";"b.2.1";"Inscripción previa"
"17";"NULL";"ENERGIAS AVANZADAS NUMACO";"Madrid";"MADRID";"RE-01D-726";"RED-14/00/a.1";"4210,000";"a.1.1";"Inscripción definitiva"
"18";"NULL";"IBERIA, LINEAS AEREAS DE ESPAÑA";"Madrid";"MADRID";"RE-01D-731";"RED-01/01/a.1";"8732,000";"a.1.1";"Inscripción definitiva"
"19";"NULL";"PARQUE EOLICO PUERTO DE LA PUEBLA";"Puebla de la Sierra";"MADRID";"RE-001779";"";"22500,000";"b.2.1";"Inscripción previa"
"20";"NULL";"BP OIL ESPAÑA - GASOLINERA BERNARDA";"Torrejón de Ardoz";"MADRID";"RE-001781";"";"14,300";"b.1.1";"Inscripción previa"
"21";"NULL";"LAVINTEX";"Fuenlabrada";"MADRID";"RE-01D-735";"RED-02/01/a.1";"990,000";"a.1.1";"Inscripción definitiva"
"22";"NULL";"SMURFIT ESPAÑA,S.A. (ALCALA)-TEC 94, S.A.";"Alcalá de Henares";"MADRID";"RE-01D-736";"RED-15/00/a.1";"2914,000";"a.1.1";"Inscripción definitiva"
"23";"NULL";"INDUSTRIAS DUERO";"Madrid";"MADRID";"RE-01D-737";"RED-16/00/a.1";"990,000";"a.1.1";"Inscripción definitiva"
"24";"NULL";"HECONFRIO";"Serranillos del Valle";"MADRID";"RE-001810";"RED-31/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"25";"NULL";"KRISTALL GLAS LTD";"Madrid";"MADRID";"RE-001811";"RED-08/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"26";"NULL";"LORENA BARROS LA FUENTE";"Alcobendas";"MADRID";"RE-001812";"RE/0063/2006";"1,500";"b.1.1";"Inscripción definitiva"
"27";"NULL";"BP OIL ESPAÑA - ESTACION DE SERVICIO ISIDORO";"Alcalá de Henares";"MADRID";"RE-001813";"";"30,000";"a.1.1";"Inscripción previa"
"28";"NULL";"UNIVERSIDAD PONTIFICIA COMILLAS";"Madrid";"MADRID";"RE-001822";"RED-13/01/b.1";"4,800";"b.1.1";"Inscripción definitiva"
"29";"NULL";"SOCIEDAD AGRARIA DE TRANSFORMACION PRADO HERRERO";"Soto del Real";"MADRID";"RE-001823";"RED-07/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"30";"NULL";"BP OIL ESPAÑA - GASOLINERA LA PRESA";"San Fernando de Henares";"MADRID";"RE-001843";"";"14,300";"b.1.1";"Inscripción previa"
"31";"NULL";"LUIS FERNANDO CUADRADO";"Villaviciosa de Odón";"MADRID";"RE-001884";"RED-001/03/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"32";"NULL";"FLORENTINO QUINTANAR ALVAREZ";"Madrid";"MADRID";"RE-001953";"RED-09/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"33";"NULL";"AYUNTAMIENTO DE TORRES DE LA ALAMEDA";"Torres de la Alameda";"MADRID";"RE-001954";"RED-23/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"34";"NULL";"CHROME DENTAL, S.L.";"Madrid";"MADRID";"RE-002122";"RED-11/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"35";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.RINCON JOVEN";"Torres de la Alameda";"MADRID";"RE-002123";"RED-15/01/b.1";"3,000";"b.1.1";"Inscripción definitiva"
"36";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.CENTRO DE SALUD";"Torres de la Alameda";"MADRID";"RE-002124";"RED-19/01/b.1";"3,000";"b.1.1";"Inscripción definitiva"
"37";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.CONSISTORIAL";"Torres de la Alameda";"MADRID";"RE-002125";"RED-16/01/b.1";"4,000";"b.1.1";"Inscripción definitiva"
"38";"NULL";"COLEGIO.P. NTRA.SRA. DEL ROSARIO, 1º CICLO";"Torres de la Alameda";"MADRID";"RE-002126";"RED-21/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"39";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.NAVE1";"Torres de la Alameda";"MADRID";"RE-002127";"RED-17/01/b.1";"3,000";"b.1.1";"Inscripción definitiva"
"40";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.RESID.3ªEDAD";"Torres de la Alameda";"MADRID";"RE-002128";"RED-18/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"41";"NULL";"COLEGIO.P. NTRA.SRA. DEL ROSARIO,2º CICLO";"Torres de la Alameda";"MADRID";"RE-002129";"RED-22/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"42";"NULL";"AYTO. TORRES DE LA ALAMEDA-EDIF.NAVE II";"Torres de la Alameda";"MADRID";"RE-002130";"RED-14/01/b.1";"3,000";"b.1.1";"Inscripción definitiva"
"43";"NULL";"AYTO. TORRES DE LA ALAMEDA-PAB POLIDEPORT.CUBIERTO";"Torres de la Alameda";"MADRID";"RE-002131";"RED-20/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"44";"NULL";"SEDE  UNION COMARCAL UGT ARANJUEZ";"Aranjuez";"MADRID";"RE-002132";"RED-31/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"45";"NULL";"ACERMETAL. S.L.";"Madrid";"MADRID";"RE-002134";"RED-10/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"46";"NULL";"AYTO. ARGANDA REY- N. C. SALUD MUN. ERNEST LLUCH";"Arganda del Rey";"MADRID";"RE-002135";"RED-12/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"47";"NULL";"PARQUE EOLICO EL PICAZO";"Prádena del Rincón";"MADRID";"RE-002136";"";"50000,000";"b.2.1";"Inscripción previa"
"48";"NULL";"JULIO BERZAL";"Paracuellos de Jarama";"MADRID";"RE-002137";"RED-04/01/b.1";"1,700";"b.1.1";"Inscripción definitiva"
"49";"NULL";"HIPERCOR";"Madrid";"MADRID";"RE-96D-126";"";"3210,000";"a.1.1";"Inscripción definitiva"
"50";"NULL";"PAPELERA PENINSULAR";"Madrid";"MADRID";"RE-96D-127";"";"5500,000";"a.1.1";"Inscripción definitiva"
"51";"NULL";"TOLSA";"Madrid";"MADRID";"RE-001995";"";"12500,000";"a.1.1";"Inscripción definitiva"
"52";"NULL";"UFEFYS";"Aranjuez";"MADRID";"RE-000678";"RE-4/96";"13180,000";"a.1.2";"Inscripción definitiva"
"53";"NULL";"MAPFRE";"San Agustín del Guadalix";"MADRID";"RE-96D-131";"";"300,000";"a.1.2";"Inscripción definitiva"
"54";"NULL";"CARGILL ESPAÑA";"Madrid";"MADRID";"RE-96D-132";"RE/0007/2006";"2200,000";"a.1.1";"Inscripción definitiva"
"55";"NULL";"ELKORRI";"Aranjuez";"MADRID";"RE-96F-210";"RE-9/96";"540,000";"b.4";"Inscripción definitiva"
"56";"NULL";"EL CASTRO";"Estremera";"MADRID";"RE-96F-211";"RE-3/95";"1620,000";"b.4";"Inscripción definitiva"
"57";"NULL";"ESTREMERA";"Estremera";"MADRID";"RE-000236";"";"780,000";"b.4";"Inscripción definitiva"
"58";"NULL";"CRISTALERIA ESPAÑOLA";"Madrid";"MADRID";"RE-96D-285";"";"3200,000";"a.1.1";"Inscripción definitiva"
"59";"NULL";"PAPELERA DEL JARAMA";"Velilla de San Antonio";"MADRID";"RE-96D-194";"";"1000,000";"a.1.1";"Inscripción definitiva"
"60";"NULL";"EL VILLAR";"Puentes Viejas";"MADRID";"RE-003017";"";"5680,000";"b.4";"Inscripción definitiva"
"61";"NULL";"PUENTES VIEJAS";"Puentes Viejas";"MADRID";"RE-003018";"";"8000,000";"b.4";"Inscripción definitiva"
"62";"NULL";"ESTACION DE CHAMARTIN";"Madrid";"MADRID";"RE-96D-256";"";"2040,000";"a.1.1";"Inscripción definitiva"
"63";"NULL";"SULQUISA, S.A.";"Colmenar de Oreja";"MADRID";"RE-001295";"RE-1251/2006";"14889,000";"a.1.1";"Inscripción definitiva"
"64";"NULL";"CERAMICA ALCALAINA";"Camarma de Esteruelas";"MADRID";"RE-97D-354";"RE/0016/2006";"999,000";"a.1.1";"Inscripción definitiva"
"65";"NULL";"CERAMICA CUATRO PALOMAS";"San Fernando de Henares";"MADRID";"RE-97D-356";"";"990,000";"a.1.1";"Inscripción definitiva"
"66";"NULL";"ARCILLEX";"Torres de la Alameda";"MADRID";"RE-97D-380";"RE-3/97";"990,000";"a.1.1";"Inscripción definitiva"
"67";"NULL";"RENFE - ESTACION PUERTA DE ATOCHA";"Madrid";"MADRID";"RE-97D-402";"";"1272,000";"a.1.1";"Inscripción definitiva"
"68";"NULL";"PINILLA";"Lozoya";"MADRID";"RE-003019";"";"2300,000";"b.4";"Inscripción definitiva"
"69";"NULL";"RIOSEQUILLO";"Buitrago del Lozoya";"MADRID";"RE-003020";"";"7200,000";"b.4";"Inscripción definitiva"
"70";"NULL";"EL ATAZAR";"Patones";"MADRID";"RE-000207";"";"8640,000";"b.4";"Inscripción definitiva"
"71";"NULL";"TORRELAGUNA";"Torrelaguna";"MADRID";"RE-000205";"";"4560,000";"b.4";"Inscripción definitiva"
"72";"NULL";"NAVALLAR";"Colmenar Viejo";"MADRID";"RE-000206";"";"3600,000";"b.4";"Inscripción definitiva"
"73";"NULL";"TIRMADRID";"Madrid";"MADRID";"RE-97B-20";"";"29800,000";"c.1";"Inscripción definitiva"
"74";"NULL";"ENERLASA";"Madrid";"MADRID";"RE-97D-421";"";"4806,000";"a.1.1";"Inscripción definitiva"
"75";"NULL";"BOLSAS Y FORMATOS";"Valdemoro";"MADRID";"RE-003113";"";"760,000";"a.1.2";"Inscripción definitiva"
"76";"NULL";"GESPAL LA PALOMA";"Getafe";"MADRID";"RE-003430";"RE/0028/2006";"1016,000";"a.1.1";"Inscripción definitiva"
"77";"NULL";"PREBESEC";"Mejorada del Campo";"MADRID";"RE-98D-515";"";"2426,000";"a.1.1";"Inscripción definitiva"
"78";"NULL";"BDF NIVEA";"Tres Cantos";"MADRID";"RE-98D-529";"";"948,000";"a.1.1";"Inscripción definitiva"
"79";"NULL";"CLINICA CENTRO";"Madrid";"MADRID";"RE-99D-548";"";"406,000";"a.1.2";"Inscripción definitiva"
"80";"NULL";"LONASA PINTO";"Pinto";"MADRID";"RE-00D-668";"RED-01/99/a.1";"770,000";"a.1.1";"Inscripción definitiva"
"81";"NULL";"COMPAÑÍA EUROPEA GENERAL TEXTIL";"Alcorcón";"MADRID";"RE-00D-669";"RED-02/99/a.1";"960,000";"a.1.1";"Inscripción definitiva"
"82";"NULL";"BP OIL ESPAÑA";"Madrid";"MADRID";"RE-000721";"";"22,400";"b.1.1";"Inscripción previa"
"83";"NULL";"ESTACION SERVICIO SAN PEDRO";"Madrid";"MADRID";"RE-000722";"RED/00/b.1";"18,400";"b.1.1";"Inscripción definitiva"
"84";"NULL";"PATRONATO MUNICIPAL DEPORTES ALCOBENDAS";"Alcobendas";"MADRID";"RE-000723";"RED-17/00/a.1";"390,000";"a.1.1";"Inscripción definitiva"
"85";"NULL";"ESTACION DE SERVICIO MOSTOLES II";"Alcorcón";"MADRID";"RE-000318";"REP-01/00/b.1";"12,000";"b.1.1";"Inscripción definitiva"
"86";"NULL";"SERVICIO ALCOBENDAS POLÍGONO SL";"Alcobendas";"MADRID";"RE-000319";"REP-02/00/b.1";"12,000";"b.1.1";"Inscripción definitiva"
"87";"NULL";"TRICALSA";"Madrid";"MADRID";"RE-00D-667";"RE/0034/2006";"990,000";"a.1.1";"Inscripción definitiva"
"88";"NULL";"ESTACION DE SERVICIO ESDIAL";"Coslada";"MADRID";"RE-000443";"RE/0047/200";"14,300";"b.1.1";"Inscripción definitiva"
"89";"NULL";"SHIONOGI QUALICAPS";"Alcobendas";"MADRID";"RE-00D-671";"RED-04/99/a.1";"2076,000";"a.1.1";"Inscripción definitiva"
"90";"NULL";"HIPERCOR";"Madrid";"MADRID";"RE-00D-670";"RED-05/99/a.1";"6028,000";"a.1.1";"Inscripción definitiva"
"91";"NULL";"3GW ENERGIA ATLÉTICA";"Madrid";"MADRID";"RE-000595";"";"1056,000";"a.1.1";"Inscripción previa"
"92";"NULL";"ESTACION DE SERVICIO GETAFE";"Getafe";"MADRID";"RE-000596";"RED-07/00/b.1";"18,400";"b.1.1";"Inscripción definitiva"
"93";"NULL";"PAPELERA DE PERALES";"Perales de Tajuña";"MADRID";"RE-000610";"";"4190,000";"a.1.1";"Inscripción previa"
"94";"NULL";"ALABE - CARTOBOX";"Velilla de San Antonio";"MADRID";"RE-99D-638";"RE/0037/2006(RED-06/99)";"3000,000";"a.1.1";"Inscripción definitiva"
"95";"NULL";"ALABE CARTOTECNIA";"Meco";"MADRID";"RE-99D-639";"RED-07/99";"3000,000";"a.1.1";"Inscripción definitiva"
"96";"NULL";"LICORES SIERRA NORTE, S.L.";"Torremocha de Jarama";"MADRID";"RE-002267";"";"5,000";"b.1.1";"Inscripción previa"
"97";"NULL";"S.A.T. VIVEROS BARBOL";"Torremocha de Jarama";"MADRID";"RE-002268";"";"5,000";"b.1.1";"Inscripción previa"
"98";"NULL";"PILAR BOURBON BLANCO (antes SAENZ  SANTA MARIA)";"San Martín de Valdeiglesias";"MADRID";"RE-002269";"RED-07/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"99";"NULL";"BP OIL ESPAÑA, S.A.";"Alcobendas";"MADRID";"RE-002270";"";"22,220";"b.1.1";"Inscripción previa"
"100";"NULL";"MANZREIA, S.L.";"Madrid";"MADRID";"RE-002271";"RED/057/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"101";"NULL";"CERAMICA CUATRO PALOMAS";"Torrejón de Ardoz";"MADRID";"RE-002272";"RED-119/03/a.1";"960,000";"a.1.1";"Inscripción definitiva"
"102";"NULL";"HELECHOS, S.COOP. MAD.";"Leganés";"MADRID";"RE-002273";"RED-01/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"103";"NULL";"Mª DEL PILAR JIMENEZ CASTRO";"Cenicientos";"MADRID";"RE-002274";"RED-25/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"104";"NULL";"INSTALACIONES DAVILA, S.L.";"Cenicientos";"MADRID";"RE-002275";"RED-27/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"105";"NULL";"Mª DEL  PILAR ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-002277";"RED-28/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"106";"NULL";"MARIA GIL RAMOS";"Cenicientos";"MADRID";"RE-002278";"RED-29/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"107";"NULL";"ELISA IZQUIERDO RAMIREZ";"Cenicientos";"MADRID";"RE-002279";"RED-24/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"108";"NULL";"PLANTA SECADO TERMICO DE LODOS E.R.A.R. DE BUTARQUE";"Madrid";"MADRID";"RE-002280";"RE/0213/2006 (RED-032/03/d.2)";"18000,000";"a.1.1";"Inscripción definitiva"
"109";"NULL";"CENTRO INVESTIGACION Y TRATAMIENTO ONCOLOGICO, S.A";"Villaviciosa de Odón";"MADRID";"RE-002281";"";"3000,000";"a.1.1";"Inscripción previa"
"110";"NULL";"P.E. MONTEOL";"Garganta de los Montes";"MADRID";"RE-002282";"";"4250,000";"b.2.1";"Inscripción previa"
"111";"NULL";"JOSE MARIA OLAZABAL CARPIO";"Molar (El)";"MADRID";"RE-002283";"RE/0089/2006";"5,000";"b.1.1";"Inscripción definitiva"
"112";"NULL";"COLEGIO LA SALLE - GRIÑON";"Griñón";"MADRID";"RE-002284";"RED-03/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"113";"NULL";"TELEFERICO DE ROSALES, S.A.";"Madrid";"MADRID";"RE-002285";"";"12,000";"b.1.1";"Inscripción previa"
"114";"NULL";"LONJAS Y MERCADOS, S.A.";"Madrid";"MADRID";"RE-002286";"";"5,000";"b.1.1";"Inscripción previa"
"115";"NULL";"CERAMICA CUATRO PALOMAS, S.A.";"Torrejón de Ardoz";"MADRID";"RE-002287";"RED-13/02/b.1";"25,000";"b.1.1";"Inscripción definitiva"
"116";"NULL";"ENERTRON";"Torres de la Alameda";"MADRID";"RE-002288";"";"20,000";"b.1.1";"Inscripción previa"
"117";"NULL";"LICAEN, S.A.";"Pinto";"MADRID";"RE-002289";"RED-02/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"118";"NULL";"BLAS PEDRO MONTES BARRIO";"Móstoles";"MADRID";"RE-002290";"RED-30/01/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"119";"NULL";"AYTO. DE ALCOBENDAS";"Alcobendas";"MADRID";"RE-002291";"RED-55/02/b.1.1";"45,000";"b.1.1";"Inscripción definitiva"
"120";"NULL";"NATURSOL INGENIERIA, S.L. (antes VIRGINIA SAAVEDRA";"Boadilla del Monte";"MADRID";"RE-002292";"RED-84/03/b.1.1";"4,400";"b.1.1";"Inscripción definitiva"
"121";"NULL";"FISAC AVIATION, S.A.";"Madrid";"MADRID";"RE-002294";"RED-15/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"122";"NULL";"INMOBILIARIA CARBALLIDO, S.A.";"Madrid";"MADRID";"RE-002295";"RED-65/02/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"123";"NULL";"COGENERACION HOSPITAL GOMEZ ULLA";"Madrid";"MADRID";"RE-002297";"RE/0199/2006";"6932,000";"a.1.1";"Inscripción definitiva"
"124";"NULL";"COGENER. E.R.A.R. SUR MADRID (Pot.Modif. 7/1/03)";"Getafe";"MADRID";"RE-003354";"RED-06/01/d";"24134,000";"a.1.1";"Inscripción definitiva"
"125";"NULL";"INSTALACIONES DAVILA, S.L.";"Cenicientos";"MADRID";"RE-002427";"RE/0057/2006";"5,000";"b.1.1";"Inscripción definitiva"
"126";"NULL";"TORIBIO MAROTO DE SEGOVIA";"Pozuelo de Alarcón";"MADRID";"RE-002722";"RED-04/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"127";"NULL";"MARIETA ACTIVIDADES CONSULTORAS, SLU";"Madrid";"MADRID";"RE-002723";"RE/0090/2006";"5,000";"b.1.1";"Inscripción definitiva"
"128";"NULL";"LAMAMIE, S.A.";"Madrid";"MADRID";"RE-002724";"RED-05/02/b.1";"3,400";"b.1.1";"Inscripción definitiva"
"129";"NULL";"FERNANDO ORSSICH";"Madrid";"MADRID";"RE-002726";"RED-06/02/b.1";"1,700";"b.1.1";"Inscripción definitiva"
"130";"NULL";"ALEJANDRO GARCIA  DAVILA";"Cenicientos";"MADRID";"RE-002811";"RE/0109/2006";"5,000";"b.1.1";"Inscripción definitiva"
"131";"NULL";"RAUL ALBURQUERQUE JIMENEZ";"Cenicientos";"MADRID";"RE-002812";"RE/0111/2006";"5,000";"b.1.1";"Inscripción definitiva"
"132";"NULL";"MARIA DEL CARMEN GARCIA CORTES";"Cenicientos";"MADRID";"RE-002813";"RE/0110/2006";"5,000";"b.1.1";"Inscripción definitiva"
"133";"NULL";"FELISA  ALBURQUERQUE GIL";"Cenicientos";"MADRID";"RE-002814";"";"5,000";"b.1.1";"Inscripción previa"
"134";"NULL";"ADELAIDA GONZALEZ GONZALEZ";"Batres";"MADRID";"RE-002815";"RED-18/02/b.1";"4,000";"b.1.1";"Inscripción definitiva"
"135";"NULL";"PELBAR, S.L.";"Alcobendas";"MADRID";"RE-002816";"RED-17/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"136";"NULL";"ALCEDA & HIEDRA, S.C.";"Boadilla del Monte";"MADRID";"RE-002817";"RED-16/02/b.1";"4,000";"b.1.1";"Inscripción definitiva"
"137";"NULL";"CASA CONSISTORIAL-AYTO DE ARGANDA DEL REY.";"Arganda del Rey";"MADRID";"RE-002818";"RED-121/05/b.1.1";"3,000";"b.1.1";"Inscripción definitiva"
"138";"NULL";"C. P. GARCIA LORCAAYUNTAMIENTO DE ARGANDA DEL REY.";"Arganda del Rey";"MADRID";"RE-002819";"RED-122/05/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"139";"NULL";"JOSE ANTONIO HERRERO RICA";"Collado Villalba";"MADRID";"RE-002820";"RED-10/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"140";"NULL";"MODESTO ALFONSO VAZQUEZ";"Villaviciosa de Odón";"MADRID";"RE-002821";"RED-52/01/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"141";"NULL";"JULIO ARROYO PEREZ";"Valdemorillo";"MADRID";"RE-002822";"RED-08/02/b.1";"4,500";"b.1.1";"Inscripción definitiva"
"142";"NULL";"COMERIN COMERCIAL INDEPENDIENTE, S.L.";"Campo Real";"MADRID";"RE-002823";"";"5,000";"b.1.1";"Inscripción previa"
"143";"NULL";"CARMELO ROMERO DE ANDRES";"Soto del Real";"MADRID";"RE-002824";"";"5,000";"b.1.1";"Inscripción previa"
"144";"NULL";"CAMILO JENE TORRA";"Collado Mediano";"MADRID";"RE-002825";"";"5,000";"b.1.1";"Inscripción previa"
"145";"NULL";"Mª ESTHER PEINADO TELLO";"Ciempozuelos";"MADRID";"RE-002826";"";"5,000";"b.1.1";"Inscripción previa"
"146";"NULL";"MARIA DOLORES GOMEZ SOTELO";"Villanueva de Perales";"MADRID";"RE-002827";"";"2,400";"b.1.1";"Inscripción previa"
"147";"NULL";"AYTO DE MAJADAHONDA. C.P. BENITO PERZ GALDOS";"Majadahonda";"MADRID";"RE-002828";"";"5,000";"b.1.1";"Inscripción previa"
"148";"NULL";"INVERSIONES SALOCIN, S.L.";"Rozas de Madrid (Las)";"MADRID";"RE-002829";"RED-12/02/b.1";"5,000";"b.1.1";"Inscripción definitiva"
"149";"NULL";"CARLOS ALGORA DEL VALLE";"Torrelodones";"MADRID";"RE-002830";"RED-64/02/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"150";"NULL";"ENERWEB CONSULTORIA ENERGETICA, S.A.-E.I.INDUSTRIA";"Madrid";"MADRID";"RE-002831";"";"5,000";"b.1.1";"Inscripción previa"
"151";"NULL";"CIMA CONSUTORES EN INFORMATICA Y MATEMATICAS APL.";"Paracuellos de Jarama";"MADRID";"RE-002832";"";"5,000";"b.1.1";"Inscripción previa"
"152";"NULL";"IBERDROLA INGENIERIA Y CONSULTORIA, S.A.";"San Agustín del Guadalix";"MADRID";"RE-002833";"";"15,000";"b.1.1";"Inscripción previa"
"153";"NULL";"JOSE VICENTE HOYOS FERNANDEZ";"Móstoles";"MADRID";"RE-002834";"";"5,000";"b.1.1";"Inscripción previa"
"154";"NULL";"OSCAR GARCIA GARCIA";"Torres de la Alameda";"MADRID";"RE-002836";"";"5,000";"b.1.1";"Inscripción previa"
"155";"NULL";"C. DOLORES IBARRURI-AYTO. ARGANDA REY";"Arganda del Rey";"MADRID";"RE-002837";"RED-123/05/b.1.1";"3,000";"b.1.1";"Inscripción definitiva"
"156";"NULL";"EDUARDO LORENZO PIQUEIRAS";"Madrid";"MADRID";"RE-002835";"RED-63/02/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"157";"NULL";"TEQUEBLAZ, S.L.";"San Martín de Valdeiglesias";"MADRID";"RE-002870";"RED-047/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"158";"NULL";"JOSE MANUEL IGLESIAS BERMEJO";"Madrid";"MADRID";"RE-002871";"RED-061/03/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"159";"NULL";"ALFOMBRAS ARTESANAS GABBE, S.L.";"Boadilla del Monte";"MADRID";"RE-002872";"";"5,000";"b.1.1";"Inscripción previa"
"160";"NULL";"ARTURO TOLEDO GOMEZ";"Coslada";"MADRID";"RE-002873";"RED-078/03/b.1.1";"4,000";"b.1.1";"Inscripción definitiva"
"161";"NULL";"SIEMSA CENTRO, S.A.";"Madrid";"MADRID";"RE-002874";"RED-006/04/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"162";"NULL";"JOSE ANTONIO SANZ GARCIA";"Rozas de Madrid (Las)";"MADRID";"RE-002875";"RED-56/02/b.1.1";"2,500";"b.1.1";"Inscripción definitiva"
"163";"NULL";"TEYSECOM GESTION Y PROYECTOS,(antes I. AQUILATES)";"San Martín de Valdeiglesias";"MADRID";"RE-002876";"RED-044/03/b.1.1";"5,000";"b.1.1";"Inscripción definitiva"
"164";"NULL";"FRANCISCO ACEDO JIMENEZ";"Villalbilla";"MADRID";"RE-002877";"";"4,000";"b.1.1";"Inscripción previa"
"165";"NULL";"I.F. SEBA (ANTES JOSE LUIS GARCIA ORTEGA)";"Arganda del Rey";"MADRID";"RE-002878";"RED-080/03/b.1.1";"1,000";"b.1.1";"Inscripción definitiva"
"166";"NULL";"RECYTEL";"Campo Real";"MADRID";"RE-002879";"RED-042/04/b.1.1";"50,000";"b.1.1";"Inscripción definitiva"
