"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1595";"NULL";"JOSÉ NOGAL 5";"San Sebastián de los Reyes";"MADRID";"RE-105778";"RE/0034/2011";"4,600";"b.1.1";"Inscripción definitiva"
"1596";"NULL";"PEDRO SALINAS 2";"San Sebastián de los Reyes";"MADRID";"RE-105779";"RE/0035/2011";"4,600";"b.1.1";"Inscripción definitiva"
"1597";"NULL";"FRANCISCO QUEVEDO 14";"San Sebastián de los Reyes";"MADRID";"RE-105780";"RE/0036/2011";"5,000";"b.1.1";"Inscripción definitiva"
"1598";"NULL";"CF CONCEJALIA";"Rozas de Madrid (Las)";"MADRID";"RE-105924";"RE/0039/2011";"30,000";"b.1.1";"Inscripción definitiva"
"1599";"NULL";"JOSE LUIS FOTOVOLTAICA";"Alcobendas";"MADRID";"RE-105925";"RE/0038/2011";"72,000";"b.1.1";"Inscripción definitiva"
"1600";"NULL";"LA CONEJERA";"Villaconejos";"MADRID";"RE-105926";"RE/0177/2008";"90,000";"b.1.1";"Inscripción definitiva"
"1601";"NULL";"ALBAREDA 7";"Madrid";"MADRID";"RE-105927";"RE/0037/2011";"10,000";"b.1.1";"Inscripción definitiva"
"1602";"NULL";"EL GLOBO MUEBLES";"San Sebastián de los Reyes";"MADRID";"RE-105928";"RE/0032/2010";"16,500";"b.1.1";"Inscripción definitiva"
"1603";"NULL";"CAJA DUERO FV VILLAMAGNA";"Madrid";"MADRID";"RE-106083";"RE/0041/2010";"9,900";"b.1.1";"Inscripción definitiva"
"1604";"NULL";"PARQUE EMPRESARIAL VIA NORTE";"Madrid";"MADRID";"RE-106084";"RE/0160/2009";"45,000";"b.1.1";"Inscripción definitiva"
"1605";"NULL";"MICROCOGENERACION ANDROMEDA 5";"Móstoles";"MADRID";"RE-106086";"RE/0064/2010";"16,500";"a.1.1";"Inscripción definitiva"
"1606";"NULL";"GESTION y DESARROLLO DEL MEDIO AMBIENTE DE MADRID";"Arganda del Rey";"MADRID";"RE-106183";"RE/0260/2008";"500,000";"b.1.1";"Inscripción definitiva"
"1607";"NULL";"BIBLIOTECA MUNICIPAL MIGUEL DE CERVANTES";"Colmenar Viejo";"MADRID";"RE-106184";"RE/0063/2010";"33,300";"b.1.1";"Inscripción definitiva"
"1608";"NULL";"CAUDETE SOLAR";"Daganzo de Arriba";"MADRID";"RE-106189";"RE/0043/2010";"1980,000";"b.1.1";"Inscripción definitiva"
"1609";"NULL";"BRODO, S.A.";"Madrid";"MADRID";"RE-106190";"RE/0047/2011";"19,800";"b.1.1";"Inscripción definitiva"
"1610";"NULL";"I.F. ESCUELA DE TALLER";"Rivas-Vaciamadrid";"MADRID";"RE-106217";"RE/0046/2011";"5,000";"b.1.1";"Inscripción definitiva"
"1611";"NULL";"CENTRO CIVICO EL MOLINO";"Villanueva de la Cañada";"MADRID";"RE-106218";"RE/0011/2011";"20,000";"b.1.1";"Inscripción definitiva"
"1612";"NULL";"CF 9,20 KW BOG";"San Sebastián de los Reyes";"MADRID";"RE-106219";"RE/0049/2011";"9,200";"b.1.1";"Inscripción definitiva"
"1613";"NULL";"CF 7,40 KW BIS";"San Sebastián de los Reyes";"MADRID";"RE-106220";"RE/0048/2011";"7,400";"b.1.1";"Inscripción definitiva"
